#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
382656:9849,07/02/24 11:12:31,294,294,0.079482821,0.076842128
382679:9851,07/02/24 21:51:44,71,71,0.020696545,0.020178979
382684:9852,07/03/24 00:51:55,1164,1164,0.545621758,0.510844963
382685:9852,07/03/24 08:26:34,483,482,0.180507624,0.173266445
382686:9852,07/03/24 11:40:25,141,141,0.043916510,0.042603430
382725:9857,07/03/24 21:33:58,369,369,0.164112535,0.154024645
382729:9859,07/04/24 06:43:25,55,55,0.015824445,0.014847128
382730:9859,07/04/24 07:13:29,52,52,0.023610874,0.021894200
382750:9860,07/04/24 11:35:32,530,530,0.248290502,0.231928138
382752:9860,07/04/24 15:08:42,709,709,0.332578266,0.315012442
382769:9861,07/05/24 00:19:42,1522,1522,0.662622106,0.627108419
382770:9861,07/05/24 10:19:22,586,586,0.165081857,0.160030453
382791:9862,07/05/24 17:32:53,105,105,0.031593998,0.029852900
382792:9862,07/05/24 18:18:12,80,80,0.038603059,0.030994191
382794:9862,07/05/24 18:54:44,14,14,0.006763113,0.005171174
382795:9862,07/05/24 19:03:19,468,468,0.226278097,0.212466295
382799:9864,07/06/24 01:44:41,615,615,0.275874634,0.259567856
382810:9865,07/06/24 09:09:34,70,70,0.018759648,0.017842507
382811:9865,07/06/24 09:42:19,396,396,0.191173862,0.178714387
382830:9867,07/06/24 23:56:53,75,75,0.023055023,0.022208021
382834:9869,07/07/24 04:03:04,763,763,0.352518652,0.329700642
382856:9871,07/07/24 12:22:27,421,421,0.193647732,0.179581798
382878:9873,07/07/24 20:54:09,853,853,0.397912356,0.373768966
382913:9877,07/08/24 14:41:36,2287,2287,0.874063783,0.831199243
382921:9878,07/09/24 08:24:31,1185,1185,0.558390292,0.522955209
382922:9878,07/09/24 16:44:19,83,83,0.033677648,0.028906804
382924:9878,07/09/24 17:25:22,247,247,0.090267878,0.086471024
382937:9879,07/09/24 21:42:48,473,473,0.217546990,0.205299521
382960:9883,07/10/24 07:52:18,564,564,0.261250864,0.243944879
383028:9885,07/11/24 01:48:44,89,89,0.033109953,0.031053561
383034:9886,07/11/24 05:08:29,666,666,0.311394379,0.288638284
383036:9886,07/11/24 09:34:23,58,58,0.027970367,0.025656419
383134:9891,07/12/24 19:19:21,110,110,0.007794196,0.007549401
383148:9895,07/13/24 04:50:42,537,537,0.039786654,0.038715077
383153:9896,07/13/24 10:30:17,194,194,0.082377058,0.066165714
383155:9896,07/13/24 11:58:32,1854,1854,0.771148582,0.729941648
